Name,Born,Died,House(s),Affiliation(s),Title(s),Culture,Father,Mother,Sibling(s),Series,Season(s),Appeared in,First seen in,Last seen in,Died in,Portrayed by,Spouse(s),Religion,Issue,Also known as,Personal arms,Species,Affiliation,Lover(s),Family,Dead
Samwell Tarly,"Samwell Tarly 280 AC (age 25) Horn Hill , the Reach",,Tarly,"[""Night's Watch"", 'Order of Maesters', 'Small Council']",Grand Maester,Marcher,{ Randyll Tarly },Melessa Florent,,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,48 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" The Iron Throne """,,John Bradley,,Faith of the Seven (raised) Old Gods (convert),Sam (adoptive),Sam Ser Piggy Prince Pork-chop Lady Piggy Sam the Slayer,,,,Gilly,,0
Talla Tarly,At Horn Hill,,Tarly,"[""Bronn's house""]",,Andal,{ Randyll Tarly },Melessa Florent,Samwell Tarly { Dickon Tarly },Game of Thrones,6,""" Blood of My Blood """,,,,Rebecca Benson,,Faith of the Seven,,,,,,,,0
Brienne of Tarth,"Evenfall Hall , Tarth",,Tarth,"['Baratheon', 'Kingsguard', 'Catelyn Stark', 'Sansa Stark', 'Kingsguard']",Ser Lady Commander of the Kingsguard,Stormlander,{ Selwyn Tarth },,,Game of Thrones,2 · 3 · 4 · 5 · 6 · 7 · 8,42 episodes ( see below ),""" What Is Dead May Never Die """,""" The Iron Throne """,,Gwendoline Christie,,Faith of the Seven,,Brienne the Beauty,,,,{ Jaime Lannister },,0
Endrew Tarth,At Evenfall Hall,,Tarth,"[""Night's Watch""]",Ser Master-at-arms at Castle Black,Andal,,,,Game of Thrones,4,""" Two Swords """,,,,Dez McMahon,,Faith of the Seven,,,,,,,,0
Teela,At Winterfell,,,['Stark'],,Northern,,,Brothers,Game of Thrones,8,2 episodes ( see below ),""" A Knight of the Seven Kingdoms """,""" The Long Night """,,Bea Glancy,,Old Gods,,,,,,,,0
Ternesio Terys,In Braavos,,,['Unknown'],,Braavosi,,,,Game of Thrones,4 · 5,2 episodes ( see below ),""" The Children """,""" The House of Black and White """,,Gary Oliver,,,,,,,,,,0
Thenn warg,"Thenn , beyond the Wall","301 AC Castle Black , the Wall",,"['Styr', 'Mance Rayder']",,Thenn,,,,Game of Thrones,4,3 episodes ( see below ),""" Two Swords """,""" The Watchers on the Wall ""","""The Watchers on the Wall""",Joseph Gatt,,Old Gods,,,,,,,,1
Theo,,,,['Lannister'],,Westermen,,,,Game of Thrones,7,""" Dragonstone """,,,,William Postlethwaite,Wife,,Child,,,,,,,0
Thin man,,,,['Unknown'],,Braavosi,,,,Game of Thrones,5,2 episodes ( see below ),""" Hardhome """,""" The Dance of Dragons """,,Oengus MacNamara,,,,The gambler,,,,,,0
Alliser Thorne,In the Crownlands,303 AC at Castle Black,Thorne,"['Targaryen', ""Night's Watch""]",Ser Master-at-arms at Castle Black First Ranger Acting Lord Commander of the Night's Watch (formerly),Crownlander,,,,Game of Thrones,1 · 4 · 5 · 6,19 episodes ( see below ),""" Lord Snow """,""" Oathbreaker ""","""Oathbreaker""",Owen Teale,,Faith of the Seven,,,,,,,,1
Thoros,In Myr,304 AC beyond the Wall Injured by a wight snow bear and froze to death during a wight hunt,,"['Lord of Light', 'Baratheon', 'Brotherhood Without Banners']",,Myrish,,,,Game of Thrones,3 · 6 · 7,10 episodes ( see below ),""" Dark Wings, Dark Words """,""" Beyond the Wall ""","""Beyond the Wall""",Paul Kaye,,Lord of Light,,Thoros of Myr,,,,,,1
Tickler,The Westerlands,299 AC Harrenhal,,['Clegane'],,Westermen,,,,Game of Thrones,2,2 episodes ( see below ),""" Garden of Bones """,""" The Ghost of Harrenhal ""","""The Ghost of Harrenhal""",Anthony Morris,,Faith of the Seven,,,,,,,,1
Timett,In the Mountains of the Moon,,,['Burned Men'],Ruler of the Burned Men,Hill tribes,Timett,,,Game of Thrones,1 · 2,4 episodes ( see below ),""" The Pointy End """,""" What Is Dead May Never Die """,,Tobias Winter,,,,,,,,,,0
Todder,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1 · 3 · 5,4 episodes ( see below ),""" You Win or You Die """,""" The Dance of Dragons """,,Will O'Connell,,,,Toad,,,,,,0
Eddison Tollett,The Vale of Arryn,"305 AC Winterfell , the North",Tollett,"[""Night's Watch"", 'White Walkers']",Lord Commander of the Night's Watch (acting),Valemen,,,,Game of Thrones,2 · 3 · 4 · 5 · 6 · 7 · 8,34 episodes ( see below ),""" The North Remembers """,""" The Last of the Starks "" (corpse)",""" The Long Night """,Ben Crompton,,,,Edd Dolorous Edd,,,,,,1
Tom,In the North,299 AC near the Red Fork Stabbed in the abdomen by Brienne of Tarth,,['Stark'],,Northern,,,,Game of Thrones,2,""" Valar Morghulis """,,,"""Valar Morghulis""",Christopher Reilly,,Old Gods,,,,,,,,1
Tomard,In the North,,,['Stark'],,Northern,,,,Game of Thrones,1,""" You Win or You Die """,,,,Phil Dixon,,Old Gods,,,,,,,,0
Tommy,,299 AC at Winterfell Killed in the Sack of Winterfell,,['Stark'],,Northern,,,,Game of Thrones,1,""" Winter Is Coming """,,,,Tommy Dunne,,Old Gods,,,,,,,,1
Tormund,Beyond the Wall,,,"['Mance Rayder', 'Jon Snow']",,Free Folk,,,,Game of Thrones,3 · 4 · 5 · 6 · 7 · 8,33 episodes ( see below ),""" Valar Dohaeris """,""" The Iron Throne """,,Kristofer Hivju,,Old Gods,,Tormund Giantsbane,,,,,,0
Tortured prisoner,,299 AC at Harrenhal Tortured to death by the Tickler,,['Unknown'],,,,,,Game of Thrones,2,""" Garden of Bones """,,,"""Garden of Bones""",Donal Gallery,,,,,,,,,,1
Tortured slave,"Astapor , Slaver's Bay","300 AC Astapor, Slaver's Bay",,['Good Masters'],,Ghiscari ( Astapori ),,,,Game of Thrones,3,""" Walk of Punishment """,,,,Mark Drake,,,,,,,,,,1
Tourney herald,,,,['Baratheon'],,,,,,Game of Thrones,2,""" The North Remembers """,,,,Marko Cindric,,,,,,,,,,0
Meryn Trant,In the Stormlands,302 AC in Braavos,Trant,['Kingsguard'],Ser,Stormlander,,,,Game of Thrones,1 · 2 · 3 · 4 · 5,18 episodes ( see below ),""" The Pointy End """,""" Mother's Mercy ""","""Mother's Mercy""",Ian Beattie,,Faith of the Seven,,The Forgettable,,,,,,1
Tully bannerman,In the Riverlands,,,['Tully'],,Rivermen,,,,Game of Thrones,6,""" No One """,,,,Sam Redford,,Faith of the Seven,,,,,,,,0
Brynden Tully,"Riverrun , the Riverlands","303 AC Riverrun, the Riverlands",Tully,['Unknown'],Ser Castellan of Riverrun,Rivermen,,,{ Hoster Tully },Game of Thrones,3 · 6,7 episodes ( see below ),""" Walk of Punishment """,""" No One ""","""No One""",Clive Russell,,,,The Blackfish,"Per fess mud red and blue, a black trout leaping over a wavy white-blue-white fess",,,,,1
Edmure Tully,"Riverrun , the Riverlands",,Tully,['Stark'],Ser Lord of Riverrun Lord Paramount of the Trident,Rivermen,{ Hoster Tully },{ Minisa Whent },,Game of Thrones,3 · 6 · 8,9 episodes ( see below ),""" Walk of Punishment """,""" The Iron Throne """,,Tobias Menzies,Roslin Frey,,Son,,,,,,,0
Hoster Tully,"Riverrun , the Riverlands","300 AC Riverrun, the Riverlands",Tully,"['Targaryen', 'Baratheon', 'Stark']",Lord of Riverrun Lord Paramount of the Trident,Rivermen,,,{ Brynden Tully },Game of Thrones,3,""" Walk of Punishment "" (corpse)",,,,Christopher Newman,{ Minisa Whent },Faith of the Seven,{ Catelyn Stark } { Lysa Arryn } Edmure Tully,Old Tully,,,,,,1
Roslin Tully,Roslin Frey 281 AC (age 24) at the Twins,,Frey Tully (by marriage),['Unknown'],,Rivermen,{ Walder Frey },,{ Stevron Frey } { Lothar Frey } { Olyvar Frey } { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Waldra Frey Shirei Frey Bastard paternal half-siblings: { Walder Rivers } { Ryger Rivers },Game of Thrones,3,""" The Rains of Castamere """,,,,Alexandra Dowling,Edmure Tully,Faith of the Seven,Son,,,,,,,0
Tyrell lady,At Highgarden,303 AC in King's Landing Incinerated in a wildfire explosion orchestrated by Cersei Lannister,Tyrell,['Unknown'],,Andal,,,,Game of Thrones,3,""" And Now His Watch Is Ended """,,,,Sophie Reid,,Faith of the Seven,,,,,,,,1
Tyrell servant,,,,['Tyrell'],,Andal,,,,Game of Thrones,3,""" Dark Wings, Dark Words """,,,,Will Rastall,,,,,,,,,,0
Margaery Tyrell%27s handmaiden,,303 - 304 AC in King's Landing or at Highgarden Died either during the destruction of the Great Sept of Baelor or the Sack of Highgarden,,['Tyrell'],,Andal,,,,Game of Thrones,3,""" Valar Dohaeris """,,,,Aisling Jarrett-Gavin,,Faith of the Seven,,,,,,,,1
Loras Tyrell,"Highgarden , the Reach","Festival of the Mother , 303 AC Great Sept of Baelor , King's Landing",Tyrell (renounced),"['Baratheon', 'Kingsguard', 'Faith Militant']","Ser Lord Commander of the Kingsguard (formerly, to Renly I)",Reach,{ Mace Tyrell },{ Alerie Hightower },,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6,20 episodes ( see below ),""" The Wolf and the Lion """,""" The Winds of Winter ""","""The Winds of Winter""",Finn Jones,,Faith of the Seven,,The Knight of the Flowers Brother Loras,,,,{ Renly Baratheon } Olyvar,,1
Mace Tyrell,At Highgarden,"303 AC Great Sept of Baelor , King's Landing",Tyrell,"['Targaryen', 'Baratheon', 'Baratheon']","Lord of Highgarden Lord Paramount of the Reach Warden of the South Hand of the King (formerly, to Renly I ) Master of Ships (to Joffrey I and Tommen I ) Master of Coin (to Tommen I)",Reach,{ Luthor Tyrell },{ Olenna Redwyne },{Sisters},Game of Thrones,4 · 5 · 6,13 episodes ( see below ),""" The Lion and the Rose """,""" The Winds of Winter ""","""The Winds of Winter""",Roger Ashton-Griffiths,{ Alerie Hightower },Faith of the Seven,{ Loras Tyrell } { Margaery Tyrell },The Lord Oaf of Highgarden The Fat Flower,,,,,,1
Margaery Tyrell,"Highgarden , the Reach","Festival of the Mother , 303 AC Great Sept of Baelor , King's Landing",Tyrell Baratheon (by marriage) Baratheon of King's Landing (by marriage),['Unknown'],Queen Consort,Reach,{ Mace Tyrell },{ Alerie Hightower },,Game of Thrones,2 · 3 · 4 · 5 · 6,26 episodes ( see below ),""" What Is Dead May Never Die """,""" The Winds of Winter ""","""The Winds of Winter""",Natalie Dormer,{ Renly Baratheon } (1st husband; unconsummated) { Joffrey I Baratheon } (2nd husband; unconsummated) { Tommen I Baratheon },,,,,,,,,1
Olenna Tyrell,"Olenna Redwyne The Arbor , the Reach","304 AC Highgarden , the Reach",Redwyne Tyrell (by marriage),['Targaryen'],,Reach,,,Viola Redwyne,Game of Thrones,3 · 4 · 5 · 6 · 7,18 episodes ( see below ),""" Dark Wings, Dark Words """,""" The Queen's Justice ""","""The Queen's Justice""",Dame Diana Rigg,{ Luthor Tyrell },,{ Mace Tyrell },Queen of Thorns,,,,,,1
Greizhen mo Ullhor,In Astapor,300 AC in Astapor Killed by the Unsullied on the orders of Daenerys Targaryen during the fall of Astapor,Ullhor,['Good Masters'],Master,Ghiscari ( Astapori ),,,,Game of Thrones,3,2 episodes ( see below ),""" Walk of Punishment """,""" And Now His Watch Is Ended ""","""And Now His Watch Is Ended""",Clifford Barry,,Ghiscari religion,,,,,,,,1
Greatjon Umber,At Last Hearth,300 - 303 AC Died during the War of the Five Kings,Umber,['Stark'],,Northern,,,,Game of Thrones,1,3 episodes ( see below ),""" The Pointy End """,""" Fire and Blood """,""" Oathbreaker "" (fate confirmed)",Clive Mantle,,Old Gods,{ Smalljon Umber } Daughters,The Greatjon,,,,,,1
Ned Umber,"294 AC Last Hearth , the North","305 AC (aged 11) Last Hearth, the North",Umber,"['Stark', 'White Walkers']",,Northern,{ Smalljon Umber },,,Game of Thrones,7 · 8,3 episodes ( see below ),""" Dragonstone """,""" Winterfell ""","""Winterfell""",Harry Grasby,,Old Gods,,,,,,,,1
Smalljon Umber,"Last Hearth , the North","303 AC Near Winterfell , the North",Umber,['Bolton'],,Northern,{ Greatjon Umber },,Sisters,Game of Thrones,6,2 episodes ( see below ),""" Oathbreaker """,""" Battle of the Bastards ""","""Battle of the Bastards""",Dean S. Jagger,,Old Gods,,The Smalljon,,,,,,1
Une,In the Stormlands,,,['Baratheon'],Lord,Andal,,,,Game of Thrones,8,""" The Iron Throne """,,,,Michael Benbaruk,,Faith of the Seven,,,,,,,,0
Unella,,303 - 305 AC in King's Landing,,['Faith of the Seven'],Septa,Andal,,,,Game of Thrones,5 · 6,8 episodes ( see below ),""" The Gift """,""" The Winds of Winter """,,Hannah Waddingham,,Faith of the Seven,,,,,,,,1
Unsullied (Valar Dohaeris),,,,"['Unsullied', 'Targaryen']",,Lysene,,,,Game of Thrones,3,""" Valar Dohaeris """,,,,Rhys Howells,,,,,,,,,,0
Urzen,"The Iron Islands , the Seven Kingdoms","299 AC Winterfell , the North",,['Greyjoy'],,Ironborn,,,,Game of Thrones,2,""" Valar Morghulis """,,,,Unidentified,,Drowned God,,,,,,,,1
Vala,In Meereen,,,['Sons of the Harpy'],,Ghiscari ( Meereenese ),,,,Game of Thrones,5 · 6,3 episodes ( see below ),""" The Wars To Come """,""" Oathbreaker """,,Meena Rayann,,Ghiscari religion,,,,,,,,0
Valyrian slave,,,,['Great Masters'],,,,,,Game of Thrones,4,""" Oathkeeper """,,,,Robert Goodman,,,,,,,,,,0
Valyrian sword smith,In Volantis,,,['Unknown'],,Volantene,,,,Game of Thrones,4,""" Two Swords """,,,,Tommy Dunne,,,,,,,,,,0
Varly,In the North,298 AC in King's Landing Killed by the City Watch during a massacre,,['Stark'],,Northern,,,,Game of Thrones,1,""" You Win or You Die """,,,"""You Win or You Die""",Graham Charles,,Old Gods,,,,,,,,1
Varys,Lys,"305 AC Dragonstone , the Crownlands",,"['Targaryen', 'Baratheon', 'Small Council']",Master of Whisperers,Lysene,,,,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,46 episodes ( see below ),""" Lord Snow """,""" The Bells ""","""The Bells""",Conleth Hill,,,,The Spider,,,,,,1
Violet,"The North , the Seven Kingdoms",300 - 302 AC,,['Bolton'],,Northern,,,,Game of Thrones,3,""" The Bear and the Maiden Fair """,,,,Stephanie Blacker,,Old Gods,,,,,,{ Ramsay Bolton },,1
Viserion,298 AC in the wastelands beyond Lhazar,304 AC (aged 6) beyond the Wall (alive) 305 AC at Winterfell,,['Unknown'],,,,,,Game of Thrones House of the Dragon,Game of Thrones : 1 · 2 · 3 · 4 · 5 · 6 · 7 · 8 House of the Dragon : 2,22 episodes ( see below ),""" Fire and Blood """,""" The Queen Who Ever Was "" (vision(s))",""" Beyond the Wall "" (reanimated) "" The Long Night """,,,,,,,Dragon (alive) Ice dragon (as a wight ),{ Daenerys Targaryen } (in life) { Night King } (in death),,{ Syrax } (mother) Drogon (brother) { Rhaegal } (brother),1
Waif,,303 AC in Braavos Killed by Arya Stark with Needle,,['Faceless Men'],,Braavosi,,,,Game of Thrones,5 · 6,11 episodes ( see below ),""" High Sparrow """,""" No One ""","""No One""",Faye Marsay Additional actors when the Waif is disguised: Margaret Jackman (old woman) Adam Turns (young man),,Many-Faced God,,,,,,,,1
Wallen,In Westeros,298 AC in the Wolfswood Throat slashed by Robb Stark,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" A Golden Crown """,,,"""A Golden Crown""",Barry O'Connor,,,,,,,,,,1
Warlock (Valar Dohaeris),In Qarth,,,['Warlocks'],,Qartheen,,,,Game of Thrones,3,""" Valar Dohaeris """,,,,Lottie Steer,,,,,,,,,,0
Anya Waynwood,At Ironoaks,,Waynwood,['Arryn'],,Valemen,,,,Game of Thrones,4,""" The Mountain and the Viper """,,,,Paola Dionisotti,,Faith of the Seven,Donnel Waynwood,,,,,,,0
Donnel Waynwood,At Ironoaks,,Waynwood,['Arryn'],Ser,Valemen,,Anya Waynwood,,Game of Thrones,4,2 episodes ( see below ),""" First of His Name """,""" The Mountain and the Viper """,,Alisdair Simpson,,Faith of the Seven,,,,,,,,0
Weasel,In the Riverlands,,,"['Whent', 'Clegane']",,Rivermen,,,,Game of Thrones,2,""" Garden of Bones """,,,,Paul Kealyn,,Faith of the Seven,,,,,,,,0
Mag Mar Tun Doh Weg,Beyond the Wall,"301 AC Castle Black , the Wall",,['Mance Rayder'],,Giant,,,,Game of Thrones,4,""" The Watchers on the Wall """,,,"""The Watchers on the Wall""",Neil Fingleton,,Old Gods,,Mag the Mighty,,,,,,1
Westerosi trader,,,,['Unknown'],,,,,,Game of Thrones,6,""" The Broken Man """,,,,Kevin Horsham,,,,,,,,,,0
Weyland,,304 AC at the Citadel Died of liver failure as a result of excessive drinking,,['Order of Maesters'],Maester,,,,,Game of Thrones,7,""" Dragonstone "" (corpse)",,,,Unidentified,,,,,,,,,,1
White Rat,,"302 AC Meereen , Slaver's Bay",,"['Unsullied', 'Targaryen']",,,,,,Game of Thrones,5,""" The Wars To Come """,,,"""The Wars To Come""",Marcos James,,,,,,,,,,1
White Walker (Hardhome),,302 AC at Hardhome Struck with Longclaw by Jon Snow,,['Unknown'],,White Walkers,,,,Game of Thrones,5 · 6,2 episodes ( see below ),""" Hardhome """,""" Blood of My Blood "" (vision(s))","""Hardhome""",Tim Loane,,,,,,,,,,1
White Walker (Oathkeeper),,305 AC Destroyed following the Night King 's death at the hands of Arya Stark during the Battle of Winterfell,,['Unknown'],,White Walkers,,,,Game of Thrones,4 · 5 · 6,3 episodes ( see below ),""" Oathkeeper """,""" Blood of My Blood "" (vision(s))",,Ross Mullan,,,,,,,,,,1
White Walker (The Door),,303 AC in the cave of the Three-Eyed Raven Stabbed in the neck with a dragonglass spear thrown by Meera Reed during an attack,,['Unknown'],,White Walkers,,,,Game of Thrones,6,""" The Door """,,,"""The Door""",Vladimír Furdík,,,,,,,,,,1
White Walker (The Dragon and the Wolf),,"305 AC at Winterfell Destroyed during the Battle of Winterfell , following the Night King 's death at the hands of Arya Stark",,['Unknown'],,White Walkers,,,,Game of Thrones,7,""" The Dragon and the Wolf """,,,,,,,,,,,,,,1
White Walker (Valar Morghulis),,300 AC at White Tree Stabbed with a dragonglass dagger by Samwell Tarly,,['Unknown'],,White Walkers,,,,Game of Thrones,2 · 3 · 6,3 episodes ( see below ),""" Valar Morghulis """,""" Blood of My Blood "" (vision(s))",""" Second Sons """,Ross Mullan,,,,,,,,,,1
White Walker (Winter Is Coming),,305 AC at Winterfell Destroyed following the Night King 's death at the hands of Arya Stark during the Battle of Winterfell,,['Unknown'],,White Walkers,,,,Game of Thrones,1,""" Winter Is Coming """,,,,Spencer Wilding Ian Whyte,,,,,,,,,,1
White Walker 1 (Beyond the Wall),,304 AC beyond the Wall Killed by Jon Snow with Longclaw,,['Unknown'],,White Walkers,,,,Game of Thrones,7,""" Beyond the Wall """,,,"""Beyond the Wall""",,,,,,,,,,,1
White Walker 2 (Beyond the Wall),,"305 AC at Winterfell Destroyed during the Battle of Winterfell , following the Night King 's death at the hands of Arya Stark",,['Unknown'],,White Walkers,,,,Game of Thrones,7,""" Beyond the Wall """,,,,,,,,,,,,,,1
Wildling girl,Beyond the Wall,298 AC in the Haunted Forest Killed by White Walkers,,['White Walkers'],,Free Folk,,,,Game of Thrones,1 · 4,2 episodes ( see below ),""" Winter Is Coming """,""" The Lion and the Rose "" (vision(s))",,Claire Wright,,Old Gods,,,,,,,,1
Will,"The Riverlands , Westeros","298 AC Near Winterfell , the North",,"[""Night's Watch""]",,Rivermen,,,,Game of Thrones,1,""" Winter Is Coming """,,,"""Winter Is Coming""",Bronson Webb,,,,,,,,,,1
Willa (Hardhome),Beyond the Wall,,,['Ice-river clans'],,Free Folk,,{ Karsi },Johnna,Game of Thrones,5,2 episodes ( see below ),""" Hardhome """,""" The Dance of Dragons """,,Karla Lyons,,Old Gods,,,,,,,,0
Willa (The Last of the Starks),In the North,,,['Stark'],,Northern,,,,Game of Thrones,8,""" The Last of the Starks """,,,,Alice Nokes,,Old Gods,,,,,,,,0
Wineseller,,"298 AC The Dothraki Sea , Essos",,['Varys'],,,,,,Game of Thrones,1,""" You Win or You Die """,,,"""You Win or You Die""",Simon Lowe,,,,,,,,,,1
Winter town boy,In the winter town,,,['Stark'],,Northern,,,,Game of Thrones,8,""" Winterfell """,,,,Felix Jamieson,,Old Gods,,,,,,,,0
Winter town man,In the winter town,,,['Stark'],,Northman,,,,Game of Thrones,5,""" Kill the Boy """,,,,Raymond Keane,,Old Gods,,,,,,,,0
Winterfell girl,In the North,,,['Stark'],,Northern,,,,Game of Thrones,8,""" The Last of the Starks """,,,,Emer McDaid,,Old Gods,,,,,,,,0
Winterfell shepherd,In the North,299 AC near Winterfell,,['Stark'],,Northern,,,,Game of Thrones,2,2 episodes ( see below ),""" The Ghost of Harrenhal """,""" A Man Without Honor """,,Donagh Deeney,{Wife},Old Gods,,,,,,,,1
Winterfell spy,In the North,,,"['Stark', 'Petyr Baelish']",,Northern,,,,Game of Thrones,7,""" Eastwatch """,,,,Adele Smyth-Kennedy,,Old Gods,,,,,,,,0
Willis Wode,"The Riverlands , Westeros","298 AC The Eastern Road , the Vale of Arryn",,['Whent'],Ser,Rivermen,,,,Game of Thrones,1,2 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" The Wolf and the Lion ""","""The Wolf and the Lion""",Ryan McKenna,,Faith of the Seven,,,,,,,,1
Wolkan,,,,"['Order of Maesters', 'Bolton', 'Stark']",Maester,,,,,Game of Thrones,6 · 7 · 8,12 episodes ( see below ),""" The Red Woman """,""" The Iron Throne """,,Richard Rycroft,,,,,,,,,,0
Wounded Lannister soldier,Lannisport,,,['Lannister'],,Westermen,Fisherman,,,Game of Thrones,2,""" Garden of Bones """,,,,Emmett O'Riabhaigh,,Faith of the Seven,,,,,,,,0
Wun Weg Wun Dar Wun,Beyond the Wall,"303 AC Winterfell , the North",,"['Mance Rayder', 'Jon Snow']",,Giant,,,,Game of Thrones,5 · 6,5 episodes ( see below ),""" Hardhome """,""" Battle of the Bastards ""","""Battle of the Bastards""",Ian Whyte,,Old Gods,,Wun Wun,,,,,,1
Wyl (guard),"The North , the Seven Kingdoms","298 AC King's Landing , the Crownlands",,['Stark'],,Northern,,,,Game of Thrones,1,""" The Wolf and the Lion """,,,"""The Wolf and the Lion""",Unidentified,,Old Gods,,,,,,,,1
Othell Yarwyck,The Westerlands,303 AC Castle Black,Yarwyck,"[""Night's Watch""]",First Builder,Westermen,,,,Game of Thrones,1 · 4 · 5 · 6,14 episodes ( see below ),""" You Win or You Die """,""" Oathbreaker ""","""Oathbreaker""",Brian Fortune,,Faith of the Seven,,,,,,,,1
Ygritte,Beyond the Wall,"301 AC Castle Black , the Wall",,['Mance Rayder'],,Free Folk,,,,Game of Thrones,2 · 3 · 4,17 episodes ( see below ),""" The Old Gods and the New """,""" The Children "" (corpse)",""" The Watchers on the Wall """,Rose Leslie,,Old Gods,,,,,,Jon Snow,,1
Yoren,,"299 AC Near Harrenhal , the Riverlands",,"[""Night's Watch""]",,Westerosi,,,{Brother},Game of Thrones,1 · 2,7 episodes ( see below ),""" Lord Snow """,""" What Is Dead May Never Die ""","""What Is Dead May Never Die""",Francis Magee,,,,,,,,,,1
Yunkai%27i whore,,,,['Wise Masters'],,,,,,Game of Thrones,3,""" Second Sons """,,,,Talitha Luke-Eardley,,,,,,,,,,0
Zalla,298 AC in Meereen,301 AC (aged 3) in Meereen Burned alive by Drogon,,['Unknown'],,Ghiscari ( Meereenese ),Goatherd,,,Game of Thrones,4,""" The Children "" (corpse)",,,,,,,,,,,,,,1
Zanrush,,,,['Red Temple of Volantis'],,Volantene,,,,Game of Thrones,6,2 episodes ( see below ),""" The Red Woman """,""" The Door """,,Gerald Lepkowski,,Lord of Light,,,,,,,,0
